experiment,experiment_label,model,optimizer,seed_count_best,accuracy_test_mean,accuracy_test_std,mcc_test_mean,mcc_test_std,f1_test_mean,f1_test_std,seed_count_runs,total_trainings_median,total_runtime_minutes_median,trainings_to_95pct_final_best_median,minutes_to_95pct_final_best_median,best_fitness_mean
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,de,3,0.6505090748118637,0.0018878621192155783,0.30068794761853285,0.0038779633399099295,0.6582952242956535,0.0015559218077845123,3,1000.0,2.8528947333688692,82.0,0.21698198475002445,0.6605865699400997
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,ga,3,0.6489597166888004,0.0011659643374117674,0.29747572133783035,0.002439291623587421,0.6587717880870775,0.0013121218553799456,3,1000.0,2.8316971327676876,9.0,0.040747433283316536,0.6598559511972908
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,gwo,3,0.6515050907481186,0.0010672477601807156,0.3027626395705091,0.002086274442338132,0.6579753126751082,0.0017123602757003178,3,1000.0,3.1573796235336578,534.0,1.8365274791168604,0.661791969839146
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,pso,3,0.6495130588756086,0.003550025438766141,0.298685050141207,0.007236094894071316,0.6574419372649284,0.0013112575056489237,3,1000.0,2.3758585377833614,70.0,0.24893708055001296,0.6609161586919933
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,mlp,random_search,3,0.648406374501992,0.0011501001378279388,0.29634223541159277,0.002297986670688277,0.658565459641901,0.0019634436265239916,3,1000.0,4.2603638015166245,15.0,0.056507523733337915,0.6608867765658523
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,de,3,0.6050243470562195,0.0013417834941325951,0.20921307854146617,0.002684185869022798,0.6248994710376325,0.0029194106442687385,3,1000.0,577.0148849272547,34.0,11.662358950516621,0.7718736340172434
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,ga,3,0.6081230633023461,0.003550025438766141,0.21544261410041057,0.007104103115213936,0.6268955610541428,0.004972523639672461,3,1000.0,231.28189281128138,37.0,10.038008943617024,0.7700706503037962
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,gwo,3,0.6077910579902612,0.002259913441419004,0.21476815170223895,0.004539205292605249,0.6289764113375828,0.0020606595149154933,3,1000.0,436.2734743214356,40.0,13.961202419666613,0.772845361081851
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,pso,3,0.603585657370518,0.00033200531208499307,0.20632129332341057,0.0006774765700818248,0.6235779829760227,0.0012274649811056554,3,1000.0,545.0872677943007,40.0,11.879481970383313,0.770941224830228
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,rf,random_search,3,0.6081230633023461,0.0008355283792906976,0.2154272260361736,0.001678364422033307,0.6283973729378052,0.0008576747148957966,3,1000.0,233.4589725567838,86.0,21.88723836428347,0.7701121564177494
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,svm,de,3,0.6103364320495794,0.05250129797432582,0.22048444829433697,0.10646069256054493,0.6453673323127364,0.04322664575454953,3,1000.0,9.396619165386559,15.0,0.12746498988332558,0.671069130213863
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,svm,ga,3,0.6093404161133246,0.022165758084806426,0.2184841235836187,0.04464012660722057,0.6423586120118748,0.01787065322477395,3,1000.0,12.345699024632388,780.0,4.995445227953921,0.6806644423133045
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,svm,gwo,3,0.5637450199203187,0.009170801671270394,0.12653029104134658,0.01907115278559869,0.6103252087551181,0.014010556655326571,2,1000.0,14.657886461760729,157.5,1.7639248325511896,0.7009298861499502
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,svm,pso,3,0.5667330677290837,0.008057543890778009,0.1323188849789189,0.016297587370549763,0.6100332226851369,0.0049933688151179495,3,1000.0,15.803009865299343,44.0,0.41527882414957273,0.7016618536538469
exp3_cv_accuracy,Experimento 3 - Cross-validation + Accuracy,svm,random_search,3,0.5944001770694998,0.004792083907616412,0.18866147198086822,0.009792414983930554,0.6330809033101268,0.005369984966102657,3,1000.0,8.013779153999591,316.0,2.542819447717314,0.6917376912395596
