experiment,experiment_label,model,optimizer,seed,total_trades,total_profit_points,mean_trade_points,win_rate,profit_factor,max_drawdown_points,sharpe_ratio_annualized
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,pso,1,520,-8780.0,-16.884615384615383,0.3269230769230769,0.5868235294117647,-9550.0,-11.04685023860259
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,pso,2,520,-3750.0,-7.211538461538462,0.4096153846153846,0.7713414634146342,-4270.0,-5.755627302184042
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,pso,3,520,-4770.0,-9.173076923076923,0.4096153846153846,0.7109090909090909,-5205.0,-7.742151250638073
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,random_search,1,520,-2570.0,-4.9423076923076925,0.41923076923076924,0.8438164691583105,-2965.0,-3.4002624427963517
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,random_search,2,520,-5205.0,-10.009615384615385,0.40576923076923077,0.700517836593786,-5420.0,-7.491738982459772
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,random_search,3,520,-5175.0,-9.951923076923077,0.38269230769230766,0.7046232876712328,-5220.0,-7.019856479581983
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,de,1,514,2055.0,3.998054474708171,0.4260700389105058,1.1313938618925832,-2765.0,1.532517428793844
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,de,2,516,1565.0,3.0329457364341086,0.42441860465116277,1.0979042852674383,-2865.0,1.1678482670618602
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,de,3,520,2020.0,3.8846153846153846,0.4269230769230769,1.12874442319949,-2895.0,1.5040055384976343
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,ga,1,288,-1370.0,-4.756944444444445,0.4201388888888889,0.8528464017185822,-2850.0,-1.3025431840312915
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,ga,2,520,1590.0,3.0576923076923075,0.42115384615384616,1.0960434913923287,-2875.0,1.2569432974046313
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,ga,3,509,1615.0,3.1728880157170924,0.4243614931237721,1.104260813428018,-2295.0,1.215602734298501
