experiment,experiment_label,model,optimizer,n,total_profit_mean,total_profit_std,win_rate_mean,profit_factor_mean,max_drawdown_mean,sharpe_mean,total_trades_mean
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,de,3,-3125.0,632.1392251711643,0.41474358974358977,0.8518673900327945,-4256.666666666667,-2.803570249092535,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,ga,3,-3131.6666666666665,869.056001264207,0.4121794871794872,0.8521396390163379,-4000.0,-2.6912322177847243,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,rf,gwo,3,-3133.3333333333335,646.5356396466735,0.4153846153846154,0.8505714054052124,-4180.0,-2.7577343211215903,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,gwo,3,-3186.6666666666665,318.0539786472311,0.39166666666666666,0.8533006128523684,-3951.6666666666665,-2.509618306270294,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,rf,ga,3,-3276.6666666666665,178.20867917509887,0.391025641025641,0.8485344623180838,-3733.3333333333335,-2.6541140642311754,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,mlp,random_search,3,-3755.0,5352.494745443474,0.37689589056776557,0.7429550633919874,-5773.333333333333,-3.825788150624586,402.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,random_search,3,-3760.0,7684.736495157137,0.3703224722875378,0.747075700253557,-6266.666666666667,-3.4693752365552277,423.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3,-3838.3333333333335,7966.6058226407395,0.37987107741807186,0.783187341279011,-6505.0,-2.52476177014553,448.6666666666667
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,de,3,-4545.0,2730.801164493673,0.24423076923076925,0.4885329319158445,-4526.666666666667,-8.34948039444378,350.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,pso,3,-5123.333333333333,5982.2327214287925,0.4082589820422195,0.7715702169243879,-6493.333333333333,-4.186983812467386,475.3333333333333
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,ga,3,-5136.666666666667,36.85557397915988,0.4121794871794872,0.7565014655960094,-5620.0,-6.116906500897191,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,de,3,-5976.666666666667,2642.878796565089,0.3891025641025641,0.7262900962132512,-6016.666666666667,-6.724949584901844,520.0
exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,svm,ga,3,-6088.333333333333,525.4839039716948,0.36410256410256414,0.7324262617012728,-6143.333333333333,-5.156398793223323,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,random_search,3,-6381.666666666667,1434.0356806346672,0.4006410256410256,0.6970548948578731,-6725.0,-8.416464979897743,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,random_search,3,-6543.333333333333,1562.7006537828456,0.4038461538461539,0.687358720445669,-7068.333333333333,-8.694228062894384,520.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,pso,3,-6875.0,1203.1936668716305,0.40320512820512816,0.6692015167274276,-7070.0,-8.997306070400759,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,gwo,3,-6963.333333333333,1676.7254794191365,0.40320512820512827,0.6717002695361837,-7060.0,-9.188069527505734,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,ga,3,-7363.333333333333,2826.8017852925827,0.4180888260675495,0.668334766960642,-9038.333333333334,-5.049049709021671,519.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,de,3,-10376.666666666666,6375.894708457264,0.37690561708071435,0.5776793383975423,-10693.333333333334,-11.158401617136384,518.0
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,svm,gwo,3,-10386.666666666666,654.6436689782722,0.38269230769230766,0.5353896323652271,-10650.0,-14.589544753623294,520.0
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,pso,3,-11220.0,4826.419480318717,0.37243589743589745,0.5412447700847466,-11563.333333333334,-13.987323757100102,520.0
