experiment,experiment_label,primary_metric,model,optimizer,seed,accuracy_test,balanced_accuracy_test,mcc_test,f1_test,auc_roc_test,auc_pr_test,reported_metric
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,mlp,gwo,3,0.6520584329349269,0.6519165753276626,0.3038411917425454,0.6588541666666666,0.6949596307331305,0.6754338377548752,0.6520584329349269
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,mlp,pso,1,0.6520584329349269,0.6519677398723973,0.3039145688651614,0.6579634464751958,0.6947479153756072,0.6744868263248293,0.6520584329349269
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,mlp,pso,2,0.6527224435590969,0.6525936233980756,0.3051872467961511,0.6592833876221499,0.6942102465822305,0.6746662173646687,0.6527224435590969
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,mlp,pso,3,0.6520584329349269,0.6519421576000299,0.3038768094975621,0.6584093872229465,0.6947514439648994,0.6752544041816309,0.6520584329349269
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,mlp,random_search,1,0.6440903054448871,0.6442652705215034,0.2885000027186689,0.6452680344142951,0.6773078627996268,0.6477444790356572,0.6440903054448871
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,mlp,random_search,2,0.650398406374502,0.6500320881088746,0.3002970528737784,0.6610878661087866,0.6935261413332333,0.6735948433744368,0.650398406374502
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,mlp,random_search,3,0.6517264276228419,0.651539677883905,0.3031196684262129,0.6593049691458266,0.69421598053983,0.6731900978178154,0.6517264276228419
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,rf,de,1,0.601261620185923,0.6004293852094769,0.2016454270137384,0.6219704123386843,0.6438433835642721,0.6344812231075295,0.601261620185923
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,rf,de,2,0.599933598937583,0.5990752890686508,0.1989754594751407,0.621188305564288,0.6365458198346414,0.6289599747957388,0.599933598937583
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,accuracy_test,rf,de,3,0.600265604249668,0.5994266042400411,0.199644124947054,0.6211453744493393,0.6347749090836915,0.6260466741183004,0.600265604249668
