date,daily_return_points,experiment,experiment_label,model,optimizer,seed
2024-06-05,1370.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-06,-80.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-07,165.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-10,-825.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-12,6675.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-13,1185.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-14,1075.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-18,1175.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-19,595.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-20,2440.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-21,1420.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-24,-1020.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-25,-130.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-26,-615.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-27,1085.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-06-28,1390.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,2
2024-05-20,-590.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-05-21,-360.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-05-22,475.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-05-23,-330.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-05-24,2575.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-05-27,215.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-05-28,4390.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-05-29,160.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-05-31,-1310.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-03,905.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-04,895.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-05,360.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-06,150.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-07,165.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-10,135.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-12,6125.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-13,965.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-14,1765.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-18,1085.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-19,565.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-20,1830.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-21,2420.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-24,730.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-25,-360.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-26,-1095.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-27,2215.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-06-28,670.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,ga,3
2024-05-20,-50.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-05-21,240.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-05-22,305.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-05-23,250.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-05-24,2635.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-05-27,115.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-05-28,4580.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-05-29,1000.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-05-31,-660.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-03,1265.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-04,705.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-05,740.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-06,90.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-07,165.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-10,-505.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-12,7085.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-13,1155.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-14,1535.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-18,955.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-19,925.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-20,2250.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-21,2080.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-24,-390.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-25,-130.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-26,-735.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-27,2155.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-06-28,1280.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,1
2024-05-20,-1070.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-05-21,-1990.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-05-22,-745.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-05-23,-2040.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-05-24,-4595.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-05-27,-195.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-05-28,-6560.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-05-29,-3660.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-05-31,-1750.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-03,-4695.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-04,555.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-05,-3840.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-06,1700.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-07,-385.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-10,3225.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-12,-11355.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-13,-3275.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-14,1585.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-18,3625.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-19,-455.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-20,-4810.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-21,3220.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-24,2780.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-25,-2010.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-26,-2455.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-27,1505.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-06-28,-4840.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,2
2024-05-20,-590.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-05-21,-290.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-05-22,475.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-05-23,-420.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-05-24,2575.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-05-27,325.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-05-28,4260.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-05-29,-60.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-05-31,-1450.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-03,985.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-04,1155.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-05,200.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-06,260.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-07,165.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-10,135.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-12,5765.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-13,965.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-14,1685.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-18,1085.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-19,285.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-20,1580.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-21,2410.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-24,1010.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-25,-660.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-26,-1135.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-27,2415.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-06-28,670.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,gwo,3
2024-05-20,-590.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,pso,1
2024-05-21,240.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,pso,1
2024-05-22,365.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,pso,1
2024-05-23,-220.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,pso,1
2024-05-24,2595.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,pso,1
2024-05-27,205.0,exp1_holdout_mcc_f1,Exp. 1 - Holdout + MCC/F1,cnn,pso,1
