experiment,experiment_label,model,optimizer,n,reported_metric_mean,reported_metric_std,accuracy_mean,accuracy_std,mcc_mean,mcc_std,f1_mean,f1_std,auc_roc_mean,auc_pr_mean
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,pso,3,0.6043603364320496,0.003487373009426453,0.6043603364320496,0.003487373009426453,0.20787696586312074,0.007003240434526967,0.624039338273665,0.0032408669964838206,0.6375996183242583,0.6285641357184405
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,rf,random_search,3,0.6043603364320496,0.0033255819392024634,0.6043603364320496,0.0033255819392024634,0.20787320028496004,0.006677680424453988,0.6241198081589165,0.003092154027697143,0.6378961668493447,0.6275051899726578
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,de,3,0.584108012394865,0.04303451437951773,0.584108012394865,0.04303451437951773,0.16725883090615482,0.0865794940314614,0.6241379450755161,0.028543437096249718,0.6172018727987667,0.6144526658497782
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,ga,3,0.5565515714918106,0.03043301540245207,0.5565515714918106,0.03043301540245207,0.12389829099606146,0.05437839497405851,0.499878280454936,0.11510541815406346,0.591851311128215,0.5793250858765816
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,gwo,3,0.5931828242585215,0.035767826657533766,0.5931828242585215,0.035767826657533766,0.18554942569068308,0.07193498443168504,0.6229240815919299,0.03172638399082367,0.623160924990278,0.6190030090501774
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,pso,3,0.5709384683488269,0.003657085356763693,0.5709384683488269,0.003657085356763693,0.1453376733955072,0.01276906555286518,0.6271609227058648,0.030901192482384623,0.6068206160769879,0.6030950254641674
exp2_holdout_accuracy,Exp. 2 - Holdout + Accuracy,svm,random_search,3,0.5876494023904383,0.006900600826967632,0.5876494023904383,0.006900600826967632,0.17491594140975683,0.014021596328995628,0.6272456491260258,0.006062572838358972,0.6156445887245399,0.6040241351440097
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,de,3,0.6333554670208056,0.002210600304940039,0.6333554670208056,0.002210600304940039,0.2662076209416793,0.004391673271713813,0.6439483330982781,0.003060296330936613,0.6728505194009925,0.6480541629835538
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,ga,3,0.6364541832669323,0.003369485911385196,0.6364541832669323,0.003369485911385196,0.2725638355587263,0.00694009495536029,0.65371076993903,0.01057395018180063,0.6786443159939926,0.6523148232884348
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,gwo,3,0.6312527667109341,0.001256951825099667,0.6312527667109341,0.001256951825099667,0.26206253510897853,0.0026170830722003695,0.6407905452898026,0.000900036168925542,0.6724359101591761,0.6480723048715057
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,pso,3,0.6340194776449756,0.0025357324562615413,0.6340194776449756,0.0025357324562615413,0.2677168666922561,0.005167791360190945,0.6416741159046945,0.0016114506020522062,0.6726799709185433,0.6477148710562254
exp3_cv_accuracy,Exp. 3 - CV + Accuracy,cnn,random_search,3,0.6343514829570607,0.0008355283792907123,0.6343514829570607,0.0008355283792907123,0.26813093214724043,0.0015900409688751165,0.6476600116472658,0.004040796752529507,0.6738228662877844,0.6461756748351263
