experiment,model,optimizer,value,mcc_test,f1_test,accuracy_test,runtime_minutes
exp3_cv_accuracy,mlp,pso,0.6495130588756086,0.298685050141207,0.6574419372649284,0.6495130588756086,7.09574011815047
exp3_cv_accuracy,mlp,random_search,0.648406374501992,0.29634223541159277,0.658565459641901,0.648406374501992,12.634986078316631
exp3_cv_accuracy,rf,de,0.6050243470562195,0.20921307854146617,0.6248994710376325,0.6050243470562195,1694.820980763359
exp3_cv_accuracy,rf,ga,0.6081230633023461,0.21544261410041057,0.6268955610541428,0.6081230633023461,735.5822545309153
exp3_cv_accuracy,rf,gwo,0.6077910579902612,0.21476815170223895,0.6289764113375828,0.6077910579902612,1297.997632090804
exp3_cv_accuracy,rf,pso,0.603585657370518,0.20632129332341057,0.6235779829760227,0.603585657370518,1418.8899448850434
exp3_cv_accuracy,rf,random_search,0.6081230633023461,0.2154272260361736,0.6283973729378052,0.6081230633023461,700.127325721666
exp3_cv_accuracy,svm,de,0.6103364320495794,0.22048444829433697,0.6453673323127364,0.6103364320495794,30.750470928151966
exp3_cv_accuracy,svm,ga,0.6093404161133246,0.2184841235836187,0.6423586120118748,0.6093404161133246,33.15914258408884
exp3_cv_accuracy,svm,gwo,0.5637450199203187,0.12653029104134658,0.6103252087551181,0.5637450199203187,29.31577292352146
exp3_cv_accuracy,svm,pso,0.5667330677290837,0.1323188849789189,0.6100332226851369,0.5667330677290837,47.19140743218716
exp3_cv_accuracy,svm,random_search,0.5944001770694998,0.18866147198086822,0.6330809033101268,0.5944001770694998,24.04064433428369
