experiment,experiment_label,model,optimizer,seed,budget,best_fitness_at_budget,progress_to_final_at_budget,runtime_minutes_at_budget
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,1,500,0.4271343046225612,0.819164539854394,0.9046258247166857
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,1,1000,0.4293012877060767,1.0,1.7300386388333657
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,2,50,0.4257009115857469,0.9375636881938186,0.10117740556667434
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,2,100,0.4257009115857469,0.9375636881938186,0.20239667648336682
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,2,250,0.4257009115857469,0.9375636881938186,0.49471125036668945
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,2,500,0.4263807179201833,0.9545757350251339,0.993759579383379
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,2,1000,0.4281958847471513,1.0,1.8473729199334792
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,3,50,0.426112636539839,0.9730718553721771,0.09568598776667535
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,3,100,0.426112636539839,0.9730718553721771,0.1947479867000045
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,3,250,0.426112636539839,0.9730718553721771,0.4536188347833519
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,3,500,0.4269327388612953,0.9852598013105812,0.8694347332167236
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,gwo,3,1000,0.4279245771271534,1.0,1.6778342959334123
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,1,50,0.422297086473181,0.48425927920659967,0.10269499724999678
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,1,100,0.426206823488755,0.8645236205485162,0.18878529089999835
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,1,250,0.4272193591899252,0.9630037024458247,0.44308931813334484
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,1,500,0.4272193591899252,0.9630037024458247,0.8264183879666799
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,1,1000,0.4275997414089792,1.0,1.6713878942500602
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,2,50,0.4197033387681009,0.8179768963364945,0.0672349722000035
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,2,100,0.4222835564741057,0.88504743154617,0.12880611461667393
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,mlp,pso,2,250,0.425531826418097,0.9694834088445109,0.3358413743666686
