experiment,experiment_label,model,optimizer,seed,first_fitness,best_fitness,total_evaluations,total_runtime_minutes,eval_to_95pct_final,time_to_95pct_final_minutes,auc_progress
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,svm,gwo,2,0.3803071167015543,0.4508915085807932,1000,4.50935808183358,411,1.8284063391833871,0.9347895949053459
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,svm,pso,1,0.428042852404086,0.4442612664026888,1000,674.6854905442841,225,126.90887778300021,0.9153419165521703
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,svm,pso,2,0.3803071167015543,0.4492207336688002,1000,768.4045433031006,228,132.16467358755023,0.9481721966377412
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,svm,pso,3,0.2766891157940473,0.4436895753321895,1000,752.0454355428515,32,22.598325160150004,0.9950269166723558
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,svm,random_search,1,0.428042852404086,0.4489119110513445,1000,426.2357181814154,501,217.45222704409935,0.5401788561652715
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,svm,random_search,2,0.4227923661735978,0.4359075386162145,1000,421.9851124122825,956,403.13778475298227,0.7906833705971957
exp1_mcc_f1,Exp 1 - Holdout + MCC/F1,svm,random_search,3,0.400422337507737,0.439305643650698,1000,419.7703353769672,351,145.23188817476645,0.9584339677635884
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,cnn,de,1,0.6280679939182484,0.6382525823879338,1000,3.1972684072021966,123,0.511970896499406,0.9837928355984565
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,cnn,de,2,0.511324891161748,0.6393375275822464,1000,2.222741778436163,2,0.00781794106660527,0.9979963730514402
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,cnn,de,3,0.6355735265431812,0.6379648028073877,1000,3.0509950459378152,85,0.26059261469987777,0.9608864806755533
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,cnn,ga,1,0.619898524243665,0.6381198390934223,1000,8.428932272179917,140,1.1898148853133534,0.9865575891019912
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,cnn,ga,2,0.6353299800223327,0.6383190202083174,1000,6.696808504564674,994,6.645423339064715,0.6005688393236626
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,cnn,ga,3,0.6328944706984286,0.6370791269588072,1000,4.295757462604827,4,0.01506282998325332,0.9981754229288238
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,cnn,gwo,1,0.6280679939182484,0.6406216980068726,1000,3.76732479575027,641,2.3189475390496828,0.8551621494224022
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,cnn,gwo,2,0.511324891161748,0.6403117136656407,1000,3.6274309931485424,2,0.009122038299998773,0.9925926931657502
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,cnn,gwo,3,0.6355735265431812,0.6397361103891297,1000,3.3714471815833043,156,0.6024667972667277,0.9027853444287522
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,cnn,pso,1,0.6280679939182484,0.6387617919594797,1000,3.208416466547896,75,0.24167777168319535,0.9777386270851054
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,cnn,pso,2,0.511324891161748,0.6397581828035599,1000,6.348672587417059,2,0.008760733266656945,0.9927215041620905
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,cnn,pso,3,0.6355735265431812,0.6377212121711204,1000,2.801179481051561,54,0.17186679155001908,0.9678906773942723
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,cnn,random_search,1,0.619898524243665,0.6390054267111653,1000,4.34689084624994,295,1.2359587892329726,0.9557574440760864
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,cnn,random_search,2,0.6353299800223327,0.6401346049651757,1000,4.204152702649844,708,2.9399949482172203,0.7337119984175176
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,cnn,random_search,3,0.6328944706984286,0.6386290486649682,1000,4.210768935964733,175,0.6966640317155299,0.9600089600358835
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,mlp,de,1,0.645514568492018,0.6495221601673504,1000,2.0935256845008055,340,0.7957998818500298,0.9104677017677411
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,mlp,de,2,0.6222016431964061,0.648902191484886,1000,1.9079299035321873,24,0.04684187675000731,0.9934700871924983
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,mlp,de,3,0.6191896041722009,0.649322890821618,1000,2.2197278303998544,79,0.22000498201668198,0.9858141065297467
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,mlp,ga,1,0.6418170935041737,0.647485189534911,1000,3.2008516243505647,12,0.0375564572333341,0.9964964809146933
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,mlp,ga,2,0.6173967976764703,0.648481492148154,1000,1.746289765867061,56,0.10232995888335188,0.984254681472953
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,mlp,ga,3,0.5810425017500954,0.6491236655913043,1000,2.913339650817139,265,1.4089088135668286,0.9762256077021682
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,mlp,gwo,1,0.645514568492018,0.6492785695310832,1000,2.244572676250053,670,1.5790088769333612,0.870687422131965
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,mlp,gwo,2,0.6222016431964061,0.6496107145175829,1000,2.0728880820333826,229,0.4149489769166733,0.9642434893868557
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,mlp,gwo,3,0.6191896041722009,0.6491457821211531,1000,1.9774206107166143,30,0.06441321550000034,0.9881075011263514
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,mlp,pso,1,0.645514568492018,0.6492786136465019,1000,2.0866776587333495,231,0.488894074416699,0.9294768695123425
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,mlp,pso,2,0.6222016431964061,0.6492121758261182,1000,1.9560302855833254,114,0.19260343898332424,0.9792739085166872
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,mlp,pso,3,0.6191896041722009,0.6492121758261182,1000,2.287109060150038,17,0.05033732013333367,0.9910068710938397
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,mlp,random_search,1,0.6418170935041737,0.6505409322337908,1000,2.2677914082333404,447,0.975683488350007,0.9043192017725566
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,mlp,random_search,2,0.6173967976764703,0.6488357536645024,1000,2.3852962658666717,15,0.03432009761666752,0.9911472212208376
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,mlp,random_search,3,0.5810425017500954,0.6485922512590725,1000,2.459990778250022,12,0.038552549183331536,0.9921909432330961
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,rf,de,1,0.6746044519662867,0.769689045854816,1000,226.23450147634892,28,4.2178042701333345,0.9939066883757012
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,rf,de,2,0.7179072645374458,0.7694012662742699,1000,228.0171974296403,51,6.477056306349975,0.9682347650530303
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,rf,de,3,0.687489109925109,0.7701318176059784,1000,189.14898676624475,42,4.194466754716814,0.984037143128408
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,rf,ga,1,0.6720805647538245,0.7634239799798348,1000,55.3668521160838,32,3.941707323083392,0.9821812383028653
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,rf,ga,2,0.7111769133426862,0.7696004915045835,1000,65.21417058028592,113,11.035946829766756,0.9799652660611271
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,rf,ga,3,0.6560300226010642,0.7696890899702346,1000,122.81164834275211,2,0.3008409603500089,0.997465443788786
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,rf,gwo,1,0.6746044519662867,0.7709067784590589,1000,203.97298960048354,11,2.3477575562333795,0.9951005392632967
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,rf,gwo,2,0.7179072645374458,0.7712388352147211,1000,119.36088834194976,68,7.690114521033502,0.9749006792732142
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,rf,gwo,3,0.687489109925109,0.7710617706296747,1000,156.51240576428347,42,5.202524671616811,0.980704310331417
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,rf,pso,1,0.6746044519662867,0.770331042836292,1000,184.02327945555032,43,7.079993730716629,0.9925676228824115
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,rf,pso,2,0.7179072645374458,0.7711503249799072,1000,89.8911021643839,74,7.107786166000036,0.9594583104696183
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,rf,pso,3,0.687489109925109,0.7682943810117827,1000,241.5410541039826,42,4.797865928299931,0.9863511913853349
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,rf,random_search,1,0.6720805647538245,0.7677405413417719,1000,91.08769704175005,29,5.317194469633334,0.9845496761202133
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,rf,random_search,2,0.7111769133426862,0.7694677040946534,1000,85.57977492843307,492,45.69539862193317,0.9379254894846074
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,rf,random_search,3,0.6560300226010642,0.7684714014814105,1000,96.86859300623374,2,0.2833422959666677,0.9928634465968376
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,svm,de,1,0.5534344698911166,0.6626265717312663,1000,5.247698940836199,772,3.917244255013793,0.903587444207943
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,svm,de,2,0.5795598119418526,0.6965414320614833,1000,6.369392676689313,25,0.12059980661676187,0.9928878833529555
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,svm,de,3,0.528261815009786,0.654194130046519,1000,4.333740972544062,47,0.1808249029500075,0.9843810562588257
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,svm,ga,1,0.5534344698911166,0.6467103610280862,1000,9.180455497197848,3,0.048343741116635405,0.9929686292743142
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,svm,ga,2,0.6437877586624852,0.6903651852292462,1000,7.205044068859509,780,5.657501144000283,0.7857548096412474
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,svm,ga,3,0.6341564804777877,0.6452048488432973,1000,3.8704317698122397,3,0.009764089183287675,0.9843191940221645
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,svm,gwo,1,0.5534344698911166,0.6652171614566236,1000,5.502617168915943,96,0.38475562711652544,0.9771055871700769
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,svm,gwo,3,0.528261815009786,0.6999070708707582,1000,6.277373606350253,137,0.6678971456831276,0.9568869312397825
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,svm,pso,1,0.5534344698911166,0.6543490781017165,1000,7.1940220863509845,17,0.1481735802335,0.9771629495533474
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,svm,pso,2,0.5795598119418526,0.7018773389903025,1000,9.87842875011732,46,0.40919467909995244,0.9747626203440408
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,svm,pso,3,0.528261815009786,0.7023644320319996,1000,8.287795318816098,65,0.3449580637168158,0.9798053534135808
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,svm,random_search,1,0.5534344698911166,0.6911399696206523,1000,3.9801429714000425,441,1.7512786104836775,0.8861143872901108
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,svm,random_search,2,0.6437877586624852,0.6870879243085295,1000,4.256259928482723,316,1.2215351901164466,0.8835086359894814
exp2_holdout_accuracy,Exp 2 - Holdout + Accuracy,svm,random_search,3,0.6341564804777877,0.6841003840467765,1000,4.880679101666221,314,2.0879332383160847,0.8873977349875203
exp3_cv_accuracy,Exp 3 - CV + Accuracy,cnn,de,1,0.6444071192002516,0.6546873940600375,1000,10.842107295928994,98,0.9611501588500687,0.9841677769986652
exp3_cv_accuracy,Exp 3 - CV + Accuracy,cnn,de,2,0.5073946430416049,0.6548131021208744,1000,5.958259225618531,2,0.015787987983276252,0.9987000235425629
